vendor,domain,dmarc_policy,dmarc_aspf,dmarc_rua,funding_stage,raw
Airbyte,airbyte.com,quarantine,,mailto:10edba2a6dcb4d16a4e655ec1dd01238@dmarc-reports.cloudflare.net,,v=DMARC1;  p=quarantine; rua=mailto:10edba2a6dcb4d16a4e655ec1dd01238@dmarc-reports.cloudflare.net
Anthropic API Key,anthropic.com,reject,,"mailto:f0cef134490d4d43b9c134fc3c2a3481@dmarc-reports.cloudflare.net,mailto:dmarc-reports@anthropic.com",,"v=DMARC1; p=reject; sp=reject; rua=mailto:f0cef134490d4d43b9c134fc3c2a3481@dmarc-reports.cloudflare.net,mailto:dmarc-reports@anthropic.com; ruf=mailto:dmarc-reports@anthropic.com; fo=1"
Amundsen,amundsen.com,none,,,,v=DMARC1; p=none
AnythingLLM,anythingllm.com,none,,mailto:5e00d9849ae044c79cba869a8b7846a7@dmarc-reports.cloudflare.net,,v=DMARC1; p=none; rua=mailto:5e00d9849ae044c79cba869a8b7846a7@dmarc-reports.cloudflare.net
Aim,aimstack.io,none,,mailto:dmarc@mailinblue.com!10m,,v=DMARC1; p=none; sp=none; rua=mailto:dmarc@mailinblue.com!10m; ruf=mailto:dmarc@mailinblue.com!10m; rf=afrf; pct=100; ri=86400
Anti-detect CDP server,antidetect.com,no-dmarc,,,,v=spf1 -all
Agno,agno.com,reject,s,"mailto:sam@agno.com,mailto:re+kwjhfyijffo@dmarc.postmarkapp.com",,"v=DMARC1;p=reject;sp=reject;pct=100;rua=mailto:sam@agno.com,mailto:re+kwjhfyijffo@dmarc.postmarkapp.com;ruf=mailto:sam@agno.com;ri=86400;aspf=s;adkim=s;fo=1"
ActiveMQ,activemq.com,no-dmarc,,,,
Apollo GraphQL API,apollo.com,reject,,"mailto:dmarc-rua@apollo.com, mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:29779514b6e9665@rep.dmarcanalyzer.com",,"v=DMARC1; p=reject; sp=reject; ri=3600; rua=mailto:dmarc-rua@apollo.com, mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:29779514b6e9665@rep.dmarcanalyzer.com; ruf=mailto:dmarc-ruf@apollo.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,mailto:2977951 4b6e9665@rep.dmarcanalyzer.com; fo=1;"
ArangoDB,arangodb.com,quarantine,,mailto:5ab0c1553ecb4e1c98557cf7e739c26f@dmarc-reports.cloudflare.net,,v=DMARC1;  p=quarantine; rua=mailto:5ab0c1553ecb4e1c98557cf7e739c26f@dmarc-reports.cloudflare.net
Apache Druid,druid.apache.org,no-dmarc,,,,
Apache Airflow,airflow.apache.org,no-dmarc,,,,
Apache Atlas,atlas.apache.org,no-dmarc,,,,
Apache Pinot Controller,pinot.apache.org,no-dmarc,,,,
Argilla,argilla.io,none,r,mailto:admin@argilla.io,,v=DMARC1; p=none; rua=mailto:admin@argilla.io; ruf=mailto:admin@argilla.io; sp=none; adkim=r; aspf=r
Apache Solr,solr.apache.org,no-dmarc,,,,
Apache Kafka,kafka.apache.org,no-dmarc,,,,
Apache Pulsar,pulsar.apache.org,no-dmarc,,,,
Apache Spark UI,spark.apache.org,no-dmarc,,,,
Applio,applio.com,no-dmarc,,,,v=spf1 -all
Apache DolphinScheduler,dolphinscheduler.apache.org,no-dmarc,,,,
AI TTS Server,aitts.com,no-dmarc,,,,
