vendor,category,default_ports,shodan_dork,source_repo
Flowise,LLM Orchestration,3000,"http.title:""Flowise"" port:3000",AI-LLM-Infrastructure-OSINT
Flowise,LLM Orchestration,3000,"http.html:""Flowise"" port:3000 -http.title:""403""",AI-LLM-Infrastructure-OSINT
Open WebUI,LLM Orchestration,3000,"http.html:""Open WebUI"" port:3000",AI-LLM-Infrastructure-OSINT
Open WebUI,LLM Orchestration,3000,"http.title:""Open WebUI""",AI-LLM-Infrastructure-OSINT
Open WebUI,LLM Orchestration,3000,"http.html:""open-webui"" ""uvicorn""",AI-LLM-Infrastructure-OSINT
Dify,LLM Orchestration,3000,"http.html:""Dify"" port:3000",AI-LLM-Infrastructure-OSINT
Dify,LLM Orchestration,3000,"http.title:""Dify""",AI-LLM-Infrastructure-OSINT
LiteLLM,LLM Orchestration,4000;5076,"http.html:""LiteLLM"" port:4000",AI-LLM-Infrastructure-OSINT
LiteLLM,LLM Orchestration,4000;5076,"http.title:""LiteLLM""",AI-LLM-Infrastructure-OSINT
LiteLLM,LLM Orchestration,4000;5076,"http.html:""LiteLLM Proxy"" port:5076",AI-LLM-Infrastructure-OSINT
Jan,LLM Orchestration,1337,"http.html:""Jan"" port:1337",AI-LLM-Infrastructure-OSINT
Chainlit,LLM Orchestration,8000,"http.html:""Chainlit"" port:8000",AI-LLM-Infrastructure-OSINT
Langflow,LLM Orchestration,7860,"http.html:""Langflow"" port:7860",AI-LLM-Infrastructure-OSINT
Langflow,LLM Orchestration,7860,"http.title:""Langflow""",AI-LLM-Infrastructure-OSINT
AnythingLLM,LLM Orchestration,3001,"http.title:""AnythingLLM"" port:3001",AI-LLM-Infrastructure-OSINT
AnythingLLM,LLM Orchestration,3001,"port:3001 http.html:""anythingllm"" http.html:""workspace""",AI-LLM-Infrastructure-OSINT
Gradio,LLM Orchestration,7860,"http.html:""gradio"" port:7860",AI-LLM-Infrastructure-OSINT
Gradio,LLM Orchestration,7860,http.favicon.hash:-1294819032,AI-LLM-Infrastructure-OSINT
OpenClaw,LLM Orchestration,18789,"http.html:""OpenClaw"" port:18789",AI-LLM-Infrastructure-OSINT
Clawdbot,LLM Orchestration,18789,"http.html:""clawdbot"" port:18789",AI-LLM-Infrastructure-OSINT
Clawdbot,LLM Orchestration,18789,http.favicon.hash:348721092,AI-LLM-Infrastructure-OSINT
LocalAI,LLM Orchestration,8080,"http.html:""LocalAI"" port:8080",AI-LLM-Infrastructure-OSINT
Ollama,LLM Orchestration,11434,"port:11434 http.html:""Ollama is running""",AI-LLM-Infrastructure-OSINT
Ollama,LLM Orchestration,11434,port:11434,AI-LLM-Infrastructure-OSINT
n8n,LLM Orchestration,5678,"http.title:""n8n"" port:5678",AI-LLM-Infrastructure-OSINT
n8n,LLM Orchestration,5678,"http.html:""n8n"" port:5678",AI-LLM-Infrastructure-OSINT
LangGraph,LLM Orchestration,8000;8123,"http.html:""LangGraph"" port:8000",AI-LLM-Infrastructure-OSINT
PromptFlow,LLM Orchestration,,"http.html:""promptflow""",AI-LLM-Infrastructure-OSINT
RAGFlow,LLM Orchestration,80;8080,"http.html:""ragflow"" port:80",AI-LLM-Infrastructure-OSINT
RAGFlow,LLM Orchestration,80;8080,"http.html:""RAGFlow"" http.favicon.hash:-1467534538",AI-LLM-Infrastructure-OSINT
RAGFlow,LLM Orchestration,9380,"port:9380 http.html:""ragflow""",AI-LLM-Infrastructure-OSINT
Coze,LLM Orchestration,,"http.html:""Coze""",AI-LLM-Infrastructure-OSINT
FastGPT,LLM Orchestration,3000,"http.html:""FastGPT"" port:3000",AI-LLM-Infrastructure-OSINT
BISHENG,LLM Orchestration,,"http.html:""BISHENG""",AI-LLM-Infrastructure-OSINT
Botpress,LLM Orchestration,,"http.html:""Botpress""",AI-LLM-Infrastructure-OSINT
Rivet,LLM Orchestration,,"http.html:""Rivet""",AI-LLM-Infrastructure-OSINT
LibreChat,LLM Orchestration,3080,"http.html:""LibreChat"" port:3080",AI-LLM-Infrastructure-OSINT
LobeChat,LLM Orchestration,,"http.html:""LobeChat""",AI-LLM-Infrastructure-OSINT
big-AGI,LLM Orchestration,,"http.html:""big-AGI""",AI-LLM-Infrastructure-OSINT
Cheshire Cat,LLM Orchestration,,"http.html:""Cheshire Cat""",AI-LLM-Infrastructure-OSINT
Khoj,LLM Orchestration,42110,"http.html:""Khoj"" port:42110",AI-LLM-Infrastructure-OSINT
GPT4All,LLM Orchestration,4891,"http.html:""GPT4All"" port:4891",AI-LLM-Infrastructure-OSINT
oobabooga,LLM Orchestration,7860;5000,"http.html:""text-generation-webui"" port:7860",AI-LLM-Infrastructure-OSINT
h2oGPT,LLM Orchestration,7860,"http.html:""h2oGPT"" port:7860",AI-LLM-Infrastructure-OSINT
ChromaDB,Vector Databases,8000;8100,"port:8000 http.html:""chroma""",AI-LLM-Infrastructure-OSINT
ChromaDB,Vector Databases,8000;8100,"port:8000 http.html:""Chroma"" http.html:""/api/v1""",AI-LLM-Infrastructure-OSINT
ChromaDB,Vector Databases,8100,"port:8100 http.html:""chroma""",AI-LLM-Infrastructure-OSINT
Qdrant,Vector Databases,6333,"port:6333 http.html:""qdrant""",AI-LLM-Infrastructure-OSINT
Qdrant,Vector Databases,6333,"port:6333 ""Qdrant""",AI-LLM-Infrastructure-OSINT
Qdrant,Vector Databases,6333,"port:6333 http.html:""/collections""",AI-LLM-Infrastructure-OSINT
Weaviate,Vector Databases,8080,"port:8080 http.html:""weaviate""",AI-LLM-Infrastructure-OSINT
Weaviate,Vector Databases,8080,"port:8080 http.html:""/v1/.well-known/openid-configuration""",AI-LLM-Infrastructure-OSINT
Weaviate,Vector Databases,50051,"port:50051 http.html:""weaviate""",AI-LLM-Infrastructure-OSINT
Milvus,Vector Databases,19530;9091,"port:19530 http.html:""milvus""",AI-LLM-Infrastructure-OSINT
Milvus,Vector Databases,9091,"port:9091 http.html:""milvus""",AI-LLM-Infrastructure-OSINT
Attu,Vector Databases,3000,"port:3000 http.html:""Attu""",AI-LLM-Infrastructure-OSINT
MinIO,Vector Databases,9001;9000,"port:9001 http.html:""MinIO""",AI-LLM-Infrastructure-OSINT
MinIO,Vector Databases,9000,"port:9000 http.html:""minio""",AI-LLM-Infrastructure-OSINT
Docker Registry,Vector Databases,5000;5001,"port:5000 http.html:""/v2/""",AI-LLM-Infrastructure-OSINT
Harbor,Vector Databases,443;80,"http.html:""Harbor""",AI-LLM-Infrastructure-OSINT
Elasticsearch,Vector Databases,9200,"port:9200 http.html:""elasticsearch""",AI-LLM-Infrastructure-OSINT
Elasticsearch,Vector Databases,9200,"port:9200 ""You Know, for Search""",AI-LLM-Infrastructure-OSINT
Kibana,Vector Databases,5601,"port:5601 http.html:""kibana""",AI-LLM-Infrastructure-OSINT
Kibana,Vector Databases,5601,"port:5601 http.title:""Kibana""",AI-LLM-Infrastructure-OSINT
OpenSearch,Vector Databases,9200;5601,"port:9200 http.html:""opensearch""",AI-LLM-Infrastructure-OSINT
OpenSearch Dashboards,Vector Databases,5601,"port:5601 http.html:""opensearch""",AI-LLM-Infrastructure-OSINT
PostgreSQL,Vector Databases,5432,"port:5432 http.html:""postgresql""",AI-LLM-Infrastructure-OSINT
pgvector,Vector Databases,5432,"port:5432 http.html:""pgvector""",AI-LLM-Infrastructure-OSINT
Supabase,Vector Databases,,"http.html:""Supabase""",AI-LLM-Infrastructure-OSINT
pgAdmin,Vector Databases,,"http.html:""pgAdmin""",AI-LLM-Infrastructure-OSINT
Redis,Vector Databases,6379;6380,"port:6379 http.html:""redis""",AI-LLM-Infrastructure-OSINT
RedisInsight,Vector Databases,6380,"port:6380 http.html:""RedisInsight""",AI-LLM-Infrastructure-OSINT
MongoDB,Vector Databases,27017,"port:27017 http.html:""mongodb""",AI-LLM-Infrastructure-OSINT
ClickHouse,Vector Databases,8123,"port:8123 http.html:""clickhouse""",AI-LLM-Infrastructure-OSINT
ClickHouse,Vector Databases,8123,"port:8123 ""ClickHouse""",AI-LLM-Infrastructure-OSINT
ArangoDB,Vector Databases,8529,"port:8529 http.html:""ArangoDB""",AI-LLM-Infrastructure-OSINT
SurrealDB,Vector Databases,,"http.html:""SurrealDB""",AI-LLM-Infrastructure-OSINT
LanceDB,Vector Databases,,"http.html:""LanceDB""",AI-LLM-Infrastructure-OSINT
Typesense,Vector Databases,,"http.html:""typesense""",AI-LLM-Infrastructure-OSINT
Cassandra,Vector Databases,,"http.html:""cassandra""",AI-LLM-Infrastructure-OSINT
Vespa,Vector Databases,8080,"port:8080 http.html:""vespa""",AI-LLM-Infrastructure-OSINT
Zilliz,Vector Databases,,"http.html:""Zilliz""",AI-LLM-Infrastructure-OSINT
Marqo,Vector Databases,8882,"port:8882 http.html:""marqo""",AI-LLM-Infrastructure-OSINT
txtai,Vector Databases,8080,"port:8080 http.html:""txtai""",AI-LLM-Infrastructure-OSINT
txtai,Vector Databases,8080,"port:8080 http.html:""/workflow"" http.html:""txtai""",AI-LLM-Infrastructure-OSINT
Neo4j,Vector Databases,7474,"port:7474 http.html:""neo4j""",AI-LLM-Infrastructure-OSINT
Dgraph,Vector Databases,,"http.html:""dgraph""",AI-LLM-Infrastructure-OSINT
Mem0,Vector Databases,8000,"port:8000 http.html:""mem0""",AI-LLM-Infrastructure-OSINT
Memgraph,Vector Databases,,"http.html:""memgraph""",AI-LLM-Infrastructure-OSINT
SillyTavern,Model Serving,8000,"http.html:""SillyTavern"" port:8000",AI-LLM-Infrastructure-OSINT
llama.cpp,Model Serving,8080,"port:8080 http.html:""/v1/chat/completions""",AI-LLM-Infrastructure-OSINT
vLLM,Model Serving,8000,"port:8000 http.html:""/v1/models""",AI-LLM-Infrastructure-OSINT
vLLM,Model Serving,8000,"port:8000 http.html:""vllm""",AI-LLM-Infrastructure-OSINT
KoboldCpp,Model Serving,5001,"port:5001 http.html:""KoboldCpp""",AI-LLM-Infrastructure-OSINT
SGLang,Model Serving,,"http.html:""sglang""",AI-LLM-Infrastructure-OSINT
LM Studio,Model Serving,1234,"port:1234 http.html:""LM Studio""",AI-LLM-Infrastructure-OSINT
Seldon,Model Serving,,"http.html:""seldon""",AI-LLM-Infrastructure-OSINT
NVIDIA NIM,Model Serving,8000,"port:8000 http.html:""nim"" http.html:""/v1/models""",AI-LLM-Infrastructure-OSINT
Triton Inference Server,Model Serving,8000;8002,"port:8000 ""/v2/health/ready""",AI-LLM-Infrastructure-OSINT
Triton Inference Server,Model Serving,8002,"port:8002 ""nv_inference_request_success""",AI-LLM-Infrastructure-OSINT
Triton Inference Server,Model Serving,8000,"port:8000 ""triton-inference-server"" http.status:200",AI-LLM-Infrastructure-OSINT
Triton Inference Server,Model Serving,8000,"port:8000 ""/v2/models"" ""extensions""",AI-LLM-Infrastructure-OSINT
NVIDIA Merlin,Model Serving,8000,"port:8000 ""/v2/models"" ""recsys"" OR ""ranking"" OR ""retrieval""",AI-LLM-Infrastructure-OSINT
TorchServe,Model Serving,8081;8080;8082,"port:8081 ""nextPageToken"" ""models"" http.status:200",AI-LLM-Infrastructure-OSINT
TorchServe,Model Serving,8081,"port:8081 ""modelName"" ""modelUrl"" ""minWorkers""",AI-LLM-Infrastructure-OSINT
TorchServe,Model Serving,8082,"port:8082 ""ts_"" http.status:200",AI-LLM-Infrastructure-OSINT
TensorFlow Serving,Model Serving,8501;8500,"port:8501 ""model_version_status"" ""AVAILABLE""",AI-LLM-Infrastructure-OSINT
TensorFlow Serving,Model Serving,8501,"port:8501 ""/v1/models/"" http.status:200",AI-LLM-Infrastructure-OSINT
TensorFlow Serving,Model Serving,8501,"port:8501 ""signature_name"" ""serving_default""",AI-LLM-Infrastructure-OSINT
TensorFlow Serving,Model Serving,8500,"port:8500 ""tensorflow""",AI-LLM-Infrastructure-OSINT
Ray Serve,Model Serving,8265;6006,"port:8265 ""ray_version"" http.status:200",AI-LLM-Infrastructure-OSINT
Ray Serve,Model Serving,8265,"port:8265 http.title:""Ray Dashboard""",AI-LLM-Infrastructure-OSINT
Ray Serve,Model Serving,8265,"port:8265 ""/api/jobs"" OR ""/api/actors""",AI-LLM-Infrastructure-OSINT
LMDeploy,Model Serving,,"http.html:""lmdeploy""",AI-LLM-Infrastructure-OSINT
Aphrodite Engine,Model Serving,,"http.html:""aphrodite""",AI-LLM-Infrastructure-OSINT
GPT4All Server,Model Serving,4891,"port:4891 http.html:""/v1/models""",AI-LLM-Infrastructure-OSINT
TEI,Model Serving,80;8080,"port:8080 http.html:""text-embeddings-inference""",AI-LLM-Infrastructure-OSINT
Jina,Model Serving,8080,"port:8080 http.html:""jina""",AI-LLM-Infrastructure-OSINT
Whisper,Model Serving,8080;9000;7860,"port:9000 http.html:""whisper""",AI-LLM-Infrastructure-OSINT
Bark,Model Serving,,"http.html:""bark"" http.html:""audio""",AI-LLM-Infrastructure-OSINT
Piper,Model Serving,,"http.html:""piper"" http.html:""tts""",AI-LLM-Infrastructure-OSINT
Coqui TTS,Model Serving,5002;8020,"port:5002 http.html:""coqui""",AI-LLM-Infrastructure-OSINT
PaddleOCR,Model Serving,,"http.html:""paddleocr""",AI-LLM-Infrastructure-OSINT
BentoML,Model Serving,,"http.html:""bentoml"" OR http.html:""BentoServer""",AI-LLM-Infrastructure-OSINT
ClearML,Training / Experiments,8080;8008;8081,"port:8080 http.html:""ClearML""",AI-LLM-Infrastructure-OSINT
Axolotl,Training / Experiments,,"http.html:""axolotl""",AI-LLM-Infrastructure-OSINT
Unsloth,Training / Experiments,,"http.html:""unsloth""",AI-LLM-Infrastructure-OSINT
BentoML,Training / Experiments,,"http.html:""bentoml""",AI-LLM-Infrastructure-OSINT
OpenLLM,Training / Experiments,,"http.html:""openllm""",AI-LLM-Infrastructure-OSINT
Ray Dashboard,Training / Experiments,8265;6006,"port:8265 http.title:""Ray Dashboard""",AI-LLM-Infrastructure-OSINT
Determined AI,Training / Experiments,,"http.html:""determined"" http.html:""cluster""",AI-LLM-Infrastructure-OSINT
LLaMA-Factory,Training / Experiments,,"http.html:""LLaMA-Factory""",AI-LLM-Infrastructure-OSINT
SageMaker,Training / Experiments,,"http.html:""SageMaker""",AI-LLM-Infrastructure-OSINT
Kubeflow,Training / Experiments,,"http.html:""kubeflow""",AI-LLM-Infrastructure-OSINT
Apache Airflow,Training / Experiments,,"http.html:""Airflow""",AI-LLM-Infrastructure-OSINT
Streamlit,Training / Experiments,8501,"port:8501 http.html:""streamlit""",AI-LLM-Infrastructure-OSINT
Streamlit,Training / Experiments,8501,http.favicon.hash:1279780014,AI-LLM-Infrastructure-OSINT
Jupyter,Training / Experiments,8888;8000,"port:8888 http.html:""jupyter""",AI-LLM-Infrastructure-OSINT
Jupyter,Training / Experiments,8888,http.favicon.hash:-1848965666,AI-LLM-Infrastructure-OSINT
Dagster,Training / Experiments,,"http.html:""dagster""",AI-LLM-Infrastructure-OSINT
MLflow,Training / Experiments,5000;1481,"port:5000 http.html:""mlflow""",AI-LLM-Infrastructure-OSINT
MLflow,Training / Experiments,5000,"port:5000 http.html:""MLflow""",AI-LLM-Infrastructure-OSINT
Weights & Biases,Training / Experiments,8080,"port:8080 http.html:""wandb""",AI-LLM-Infrastructure-OSINT
Label Studio,Training / Experiments,8080,"port:8080 http.html:""Label Studio""",AI-LLM-Infrastructure-OSINT
CVAT,Training / Experiments,8080,"port:8080 http.html:""CVAT""",AI-LLM-Infrastructure-OSINT
Argilla,Training / Experiments,6900,"port:6900 http.html:""argilla""",AI-LLM-Infrastructure-OSINT
Doccano,Training / Experiments,8000,"port:8000 http.html:""doccano""",AI-LLM-Infrastructure-OSINT
Promptfoo,Training / Experiments,15500,"port:15500 http.html:""promptfoo""",AI-LLM-Infrastructure-OSINT
DeepEval,Training / Experiments,8000;5000;8080,"port:8000 http.html:""deepeval""",AI-LLM-Infrastructure-OSINT
Humanloop,Training / Experiments,,"http.html:""humanloop""",AI-LLM-Infrastructure-OSINT
Feast,Training / Experiments,,"http.html:""feast""",AI-LLM-Infrastructure-OSINT
Tecton,Training / Experiments,,"http.html:""tecton""",AI-LLM-Infrastructure-OSINT
LiteLLM,AI Gateways / Monitoring,5076;4000,"port:5076 http.html:""LiteLLM""",AI-LLM-Infrastructure-OSINT
Kong AI Gateway,AI Gateways / Monitoring,,"http.html:""kong"" http.html:""ai-proxy""",AI-LLM-Infrastructure-OSINT
Arize Phoenix,AI Gateways / Monitoring,6006,"port:6006 http.html:""phoenix""",AI-LLM-Infrastructure-OSINT
Portkey,AI Gateways / Monitoring,,"http.html:""portkey""",AI-LLM-Infrastructure-OSINT
Helicone,AI Gateways / Monitoring,,"http.html:""helicone""",AI-LLM-Infrastructure-OSINT
Tyk,AI Gateways / Monitoring,,"http.html:""tyk"" http.html:""gateway""",AI-LLM-Infrastructure-OSINT
Langfuse,AI Gateways / Monitoring,3000,"port:3000 http.html:""langfuse""",AI-LLM-Infrastructure-OSINT
LangSmith,AI Gateways / Monitoring,1984,"port:1984 http.html:""langsmith""",AI-LLM-Infrastructure-OSINT
Arize AI,AI Gateways / Monitoring,,"http.html:""arize""",AI-LLM-Infrastructure-OSINT
Prometheus,AI Gateways / Monitoring,,"http.html:""prometheus""",AI-LLM-Infrastructure-OSINT
Apache Tika,AI Gateways / Monitoring,,"http.html:""tika""",AI-LLM-Infrastructure-OSINT
Unstructured,AI Gateways / Monitoring,,"http.html:""unstructured""",AI-LLM-Infrastructure-OSINT
Docling,AI Gateways / Monitoring,,"http.html:""docling""",AI-LLM-Infrastructure-OSINT
OpenHands,Agent Frameworks,3000;3001,"port:3000 http.html:""openhands""",AI-LLM-Infrastructure-OSINT
