target,platform,confirmed,version,auth,severity,customer,license_expiry,shadow_unauth_count,notes
http://103.52.212.89:4000,litellm,true,1.82.6,unauth,critical,,,0,CRITICAL: /v1/models returns model catalog without authentication (LITELLM_MASTER_KEY not set); /v1/chat/completions likely also unauth — LLMjacking primitive
http://110.164.163.24:4000,litellm,true,1.82.6,unauth,critical,,,0,CRITICAL: /v1/models returns model catalog without authentication (LITELLM_MASTER_KEY not set); /v1/chat/completions likely also unauth — LLMjacking primitive
http://110.164.163.24:5555,litellm,true,1.82.6,unauth,critical,,,0,CRITICAL: /v1/models returns model catalog without authentication (LITELLM_MASTER_KEY not set); /v1/chat/completions likely also unauth — LLMjacking primitive
http://120.53.251.60:8000,litellm,true,1.81.11,unauth,critical,,,0,CRITICAL: /v1/models returns model catalog without authentication (LITELLM_MASTER_KEY not set); /v1/chat/completions likely also unauth — LLMjacking primitive
http://121.31.38.238:4000,litellm,true,1.83.7,unauth,critical,,,0,CRITICAL: /v1/models returns model catalog without authentication (LITELLM_MASTER_KEY not set); /v1/chat/completions likely also unauth — LLMjacking primitive
http://135.181.26.207:4000,litellm,true,1.82.5,unauth,critical,,,0,CRITICAL: /v1/models returns model catalog without authentication (LITELLM_MASTER_KEY not set); /v1/chat/completions likely also unauth — LLMjacking primitive
http://135.232.214.222:4000,litellm,true,1.83.12,unauth,critical,,,0,CRITICAL: /v1/models returns model catalog without authentication (LITELLM_MASTER_KEY not set); /v1/chat/completions likely also unauth — LLMjacking primitive
http://142.171.165.101:4000,litellm,true,1.82.1,unauth,critical,,,0,CRITICAL: /v1/models returns model catalog without authentication (LITELLM_MASTER_KEY not set); /v1/chat/completions likely also unauth — LLMjacking primitive
http://144.124.252.251:4000,litellm,true,1.81.14,unauth,critical,,,0,CRITICAL: /v1/models returns model catalog without authentication (LITELLM_MASTER_KEY not set); /v1/chat/completions likely also unauth — LLMjacking primitive
http://15.235.114.76:8010,litellm,true,1.77.7,unauth,critical,,,0,CRITICAL: /v1/models returns model catalog without authentication (LITELLM_MASTER_KEY not set); /v1/chat/completions likely also unauth — LLMjacking primitive
http://159.69.106.84:4000,litellm,true,1.80.17,unauth,critical,,,0,CRITICAL: /v1/models returns model catalog without authentication (LITELLM_MASTER_KEY not set); /v1/chat/completions likely also unauth — LLMjacking primitive
http://172.203.222.133:8000,litellm,true,1.81.14,unauth,critical,,,0,CRITICAL: /v1/models returns model catalog without authentication (LITELLM_MASTER_KEY not set); /v1/chat/completions likely also unauth — LLMjacking primitive
http://172.232.115.211:4000,litellm,true,1.81.13,unauth,critical,,,0,CRITICAL: /v1/models returns model catalog without authentication (LITELLM_MASTER_KEY not set); /v1/chat/completions likely also unauth — LLMjacking primitive
http://185.110.190.39:4000,litellm,true,1.81.6,unauth,critical,,,0,CRITICAL: /v1/models returns model catalog without authentication (LITELLM_MASTER_KEY not set); /v1/chat/completions likely also unauth — LLMjacking primitive
http://193.86.79.211:4000,litellm,true,1.83.14,unauth,critical,,,0,CRITICAL: /v1/models returns model catalog without authentication (LITELLM_MASTER_KEY not set); /v1/chat/completions likely also unauth — LLMjacking primitive
http://204.168.237.160:4000,litellm,true,1.82.6,unauth,critical,,,0,CRITICAL: /v1/models returns model catalog without authentication (LITELLM_MASTER_KEY not set); /v1/chat/completions likely also unauth — LLMjacking primitive
http://23.164.240.9:4000,litellm,true,1.81.14,unauth,critical,,,0,CRITICAL: /v1/models returns model catalog without authentication (LITELLM_MASTER_KEY not set); /v1/chat/completions likely also unauth — LLMjacking primitive
http://45.124.54.69:4000,litellm,true,1.81.14,unauth,critical,,,0,CRITICAL: /v1/models returns model catalog without authentication (LITELLM_MASTER_KEY not set); /v1/chat/completions likely also unauth — LLMjacking primitive
http://47.99.185.244:4000,litellm,true,1.82.6,unauth,critical,,,0,CRITICAL: /v1/models returns model catalog without authentication (LITELLM_MASTER_KEY not set); /v1/chat/completions likely also unauth — LLMjacking primitive
http://64.227.96.179:4000,litellm,true,1.83.4,unauth,critical,,,0,CRITICAL: /v1/models returns model catalog without authentication (LITELLM_MASTER_KEY not set); /v1/chat/completions likely also unauth — LLMjacking primitive
http://66.42.45.139:8080,litellm,true,1.83.11,unauth,critical,,,0,CRITICAL: /v1/models returns model catalog without authentication (LITELLM_MASTER_KEY not set); /v1/chat/completions likely also unauth — LLMjacking primitive
http://74.48.70.26:4000,litellm,true,1.82.6,unauth,critical,,,0,CRITICAL: /v1/models returns model catalog without authentication (LITELLM_MASTER_KEY not set); /v1/chat/completions likely also unauth — LLMjacking primitive
http://81.68.217.128:3000,litellm,true,1.82.6,unauth,critical,,,0,CRITICAL: /v1/models returns model catalog without authentication (LITELLM_MASTER_KEY not set); /v1/chat/completions likely also unauth — LLMjacking primitive
http://91.196.33.95:4000,litellm,true,1.82.6,unauth,critical,,,0,CRITICAL: /v1/models returns model catalog without authentication (LITELLM_MASTER_KEY not set); /v1/chat/completions likely also unauth — LLMjacking primitive
https://110.164.163.26:443,litellm,true,1.82.6,unauth,critical,,,0,CRITICAL: /v1/models returns model catalog without authentication (LITELLM_MASTER_KEY not set); /v1/chat/completions likely also unauth — LLMjacking primitive
http://100.22.249.139:80,litellm,true,1.81.0,auth,info,,,0,
http://101.47.13.9:4000,litellm,true,1.74.3,auth,info,,,0,
http://106.12.184.51:4000,litellm,true,1.82.6,auth,info,,,0,
http://108.160.131.128:4000,litellm,true,1.82.6,auth,info,,,0,
http://118.70.177.107:4000,litellm,true,1.82.6,auth,info,,,0,
http://118.99.87.163:4000,litellm,true,1.82.3,auth,info,,,0,
http://122.155.10.75:4000,litellm,true,1.82.6,auth,info,,,0,
http://122.51.121.114:4000,litellm,true,1.74.15,auth,info,,,0,
http://123.30.233.78:4000,litellm,true,1.80.8,auth,info,,,0,
http://123.30.233.79:4000,litellm,true,1.80.8,auth,info,,,0,
http://128.199.227.245:4000,litellm,true,1.82.3,auth,info,,,0,
http://129.211.224.23:4000,litellm,true,1.83.14,auth,info,,,0,
http://129.226.88.226:4000,litellm,true,1.81.14,auth,info,,,0,
http://13.124.65.175:80,litellm,true,1.81.9,auth,info,,,0,
http://13.219.138.34:80,litellm,true,1.81.12,auth,info,,,0,
http://133.18.104.113:4000,litellm,true,1.82.3,auth,info,,,0,
http://134.199.205.252:4000,litellm,true,1.82.3,auth,info,,,0,
http://134.255.218.32:4000,litellm,true,1.77.5,auth,info,,,0,
http://139.60.161.251:4000,litellm,true,1.82.4,auth,info,,,0,
http://141.255.217.246:4000,litellm,true,1.83.14,auth,info,,,0,
http://141.95.109.202:4000,litellm,true,1.83.10,auth,info,,,0,
http://146.59.81.114:4001,litellm,true,1.77.7,auth,info,,,0,
http://147.93.189.19:4000,litellm,true,1.82.6,auth,info,,,0,
http://148.251.185.43:4000,litellm,true,1.83.3,auth,info,,,0,
http://152.54.15.13:4000,litellm,true,1.80.11,auth,info,,,0,
http://159.195.27.207:4000,litellm,true,1.81.13,auth,info,,,0,
http://159.65.222.28:4000,litellm,true,1.75.8,auth,info,,,0,
http://159.69.62.185:4000,litellm,true,1.82.1,auth,info,,,0,
http://160.191.244.41:8000,litellm,true,1.82.6,auth,info,,,0,
http://162.203.77.90:4000,litellm,true,1.78.7,auth,info,,,0,
http://163.172.141.127:4000,litellm,true,1.80.0,auth,info,,,0,
http://163.172.144.236:4000,litellm,true,1.82.6,auth,info,,,0,
http://165.232.138.255:4000,litellm,true,1.79.3,auth,info,,,0,
http://167.179.115.77:4000,litellm,true,1.83.10,auth,info,,,0,
http://170.187.136.13:4000,litellm,true,1.80.8,auth,info,,,0,
http://172.238.11.117:4000,litellm,true,1.82.1,auth,info,,,0,
http://176.108.248.75:4000,litellm,true,1.74.12,auth,info,,,0,
http://178.104.44.104:4000,litellm,true,1.81.14,auth,info,,,0,
http://178.104.44.64:4000,litellm,true,1.81.14,auth,info,,,0,
http://178.156.193.84:4000,litellm,true,1.83.10,auth,info,,,0,
http://178.63.39.111:4000,litellm,true,1.81.14,auth,info,,,0,
http://18.206.53.20:80,litellm,true,,unknown,info,,,0,
http://18.220.49.26:80,litellm,true,1.82.6,auth,info,,,0,
http://184.32.27.185:80,litellm,true,1.61.20,auth,info,,,0,
http://193.70.36.143:4000,litellm,true,1.82.6,auth,info,,,0,
http://194.59.31.22:4000,litellm,true,1.83.10,auth,info,,,0,
http://195.201.219.76:4000,litellm,true,1.83.10,auth,info,,,0,
http://195.62.49.162:4000,litellm,true,1.82.1,auth,info,,,0,
http://198.13.41.27:4000,litellm,true,1.82.6,auth,info,,,0,
http://2.59.133.162:4000,litellm,true,1.82.3,auth,info,,,0,
http://20.123.92.228:4000,litellm,true,1.80.7,auth,info,,,0,
http://20.140.192.192:4000,litellm,true,1.81.0,auth,info,,,0,
http://20.168.119.69:3000,litellm,true,1.81.9,auth,info,,,0,
http://20.232.57.156:80,litellm,true,1.82.6,auth,info,,,0,
http://20.83.187.209:4000,litellm,true,1.76.1,auth,info,,,0,
http://202.10.41.37:4000,litellm,true,,auth,info,,,0,
http://202.182.124.145:4000,litellm,true,1.82.6,auth,info,,,0,
http://203.101.230.35:4000,litellm,true,1.81.3,auth,info,,,0,
http://207.246.106.39:4000,litellm,true,1.83.10,auth,info,,,0,
http://209.38.12.209:4000,litellm,true,1.80.11,auth,info,,,0,
http://216.128.158.58:4000,litellm,true,,auth,info,,,0,
http://216.219.89.246:4000,litellm,true,1.81.12,auth,info,,,0,
http://217.154.19.159:4000,litellm,true,1.81.14,auth,info,,,0,
http://221.226.175.82:4000,litellm,true,1.82.3,auth,info,,,0,
http://223.19.244.104:4000,litellm,true,1.81.0,auth,info,,,0,
http://23.20.231.160:80,litellm,true,1.82.6,auth,info,,,0,
http://3.11.76.216:80,litellm,true,1.82.3,auth,info,,,0,
http://3.134.142.63:80,litellm,true,1.82.0,auth,info,,,0,
http://3.36.150.31:80,litellm,true,,unknown,info,,,0,
http://32.195.243.54:80,litellm,true,1.82.3,auth,info,,,0,
http://34.1.16.50:4000,litellm,true,1.65.1,auth,info,,,0,
http://34.100.204.204:4000,litellm,true,1.83.7,auth,info,,,0,
http://34.118.70.171:4000,litellm,true,,auth,info,,,0,
http://34.141.145.41:8080,litellm,true,1.82.3,auth,info,,,0,
http://34.225.236.239:80,litellm,true,,unknown,info,,,0,
http://34.225.69.117:80,litellm,true,,unknown,info,,,0,
http://34.93.132.131:80,litellm,true,1.80.15,auth,info,,,0,
http://34.95.44.95:5000,litellm,true,1.83.10,auth,info,,,0,
http://35.187.237.145:80,litellm,true,1.82.3,auth,info,,,0,
http://37.9.171.185:4000,litellm,true,1.79.3,auth,info,,,0,
http://38.108.83.79:4000,litellm,true,1.82.4,auth,info,,,0,
http://39.101.211.46:4000,litellm,true,1.81.14,auth,info,,,0,
http://39.102.113.24:4000,litellm,true,1.81.14,auth,info,,,0,
http://39.106.10.174:4000,litellm,true,1.83.14,auth,info,,,0,
http://39.97.242.94:4000,litellm,true,1.82.6,auth,info,,,0,
http://40.160.8.103:4000,litellm,true,1.72.2,auth,info,,,0,
http://43.128.73.14:4000,litellm,true,1.80.8,auth,info,,,0,
http://43.134.171.204:3000,litellm,true,1.82.6,auth,info,,,0,
http://43.137.17.90:4000,litellm,true,1.82.1,auth,info,,,0,
http://43.143.64.185:4000,litellm,true,1.81.14,auth,info,,,0,
http://43.209.60.210:80,litellm,true,1.83.10,auth,info,,,0,
http://43.98.249.174:80,litellm,true,1.82.6,auth,info,,,0,
http://44.215.48.36:80,litellm,true,,unknown,info,,,0,
http://44.253.23.232:80,litellm,true,1.81.3,auth,info,,,0,
http://45.32.17.186:8090,litellm,true,1.61.20,auth,info,,,0,
http://45.32.17.8:4000,litellm,true,1.80.8,auth,info,,,0,
http://45.32.23.101:4000,litellm,true,,auth,info,,,0,
http://45.32.23.93:4000,litellm,true,1.83.14,auth,info,,,0,
http://45.32.61.163:4000,litellm,true,,auth,info,,,0,
http://45.40.254.22:4000,litellm,true,1.85.0,auth,info,,,0,
http://45.67.128.55:4567,litellm,true,1.83.0,auth,info,,,0,
http://45.76.50.238:8090,litellm,true,1.61.20,auth,info,,,0,
http://46.101.121.227:80,litellm,true,1.77.5,auth,info,,,0,
http://46.224.27.28:4000,litellm,true,1.81.14,auth,info,,,0,
http://46.224.93.235:4000,litellm,true,1.80.7,auth,info,,,0,
http://46.62.206.108:4000,litellm,true,1.82.6,auth,info,,,0,
http://46.62.238.64:4000,litellm,true,1.82.3,auth,info,,,0,
http://47.105.73.34:4000,litellm,true,1.82.6,auth,info,,,0,
http://47.131.159.208:80,litellm,true,1.83.14,auth,info,,,0,
http://47.236.175.143:80,litellm,true,1.82.3,auth,info,,,0,
http://47.236.8.8:80,litellm,true,1.80.5,auth,info,,,0,
http://47.74.2.87:4000,litellm,true,1.82.4,auth,info,,,0,
http://47.74.56.210:80,litellm,true,1.80.15,auth,info,,,0,
http://47.84.47.229:80,litellm,true,1.82.3,auth,info,,,0,
http://47.86.169.134:4000,litellm,true,1.81.0,auth,info,,,0,
http://47.94.228.159:4000,litellm,true,1.79.1,auth,info,,,0,
http://47.94.248.19:4000,litellm,true,1.81.0,auth,info,,,0,
