ip,port,platform,version,model_count,owned_by,top_5_models
"103.29.68.249",3000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"103.29.68.249",1234,"LM Studio","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"103.29.68.171",5000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"103.29.68.171",4000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"103.29.68.249",5000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"103.29.68.171",3000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"103.29.68.249",1337,"Jan AI / Cortex","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"103.29.68.171",1234,"LM Studio","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"103.29.68.249",4000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"104.200.17.125",1234,"LM Studio","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"104.200.17.125",5000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"104.200.17.125",4000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"104.200.17.125",1337,"Jan AI / Cortex","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"104.200.19.241",3000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"104.200.19.241",1234,"LM Studio","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"104.200.19.241",5000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"104.200.19.241",4000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"104.237.139.130",3000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"104.200.19.241",1337,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"104.237.139.130",5000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"104.237.139.130",1337,"Jan AI / Cortex","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"104.237.142.141",3000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"104.237.139.130",1234,"LM Studio","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"104.237.142.141",1234,"LM Studio","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"104.237.142.141",1337,"Jan AI / Cortex","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"104.237.142.141",5000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"104.237.142.141",4000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"104.237.154.190",3000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"104.237.154.33",1234,"LM Studio","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"104.237.154.33",4000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"104.237.154.33",5000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"104.237.154.190",1337,"Jan AI / Cortex","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"104.237.154.190",1234,"LM Studio","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"104.237.154.190",4000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"103.29.68.249",8080,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"103.29.68.171",8080,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"104.200.19.241",8080,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"104.237.154.33",1337,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"104.237.139.130",8080,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"104.64.43.132",3000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"104.237.142.141",8080,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"104.64.43.132",1234,"LM Studio","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"104.64.43.132",1337,"Jan AI / Cortex","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"104.64.43.132",4000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"104.64.43.132",5000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"104.237.154.190",8080,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"109.237.26.132",3000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"109.237.26.157",3000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"109.237.26.157",4000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"109.237.26.157",5000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"109.237.26.132",1234,"LM Studio","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"109.237.26.132",4000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"109.237.26.132",5000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"109.237.26.157",1337,"Jan AI / Cortex","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"109.74.198.243",1234,"LM Studio","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"109.74.198.243",4000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"109.74.198.243",3000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"109.74.198.243",5000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"109.237.26.157",1234,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"104.64.43.132",8080,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"109.74.198.243",1337,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"109.237.26.157",8080,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"135.125.200.218",4000,"OpenAI-compat (generic)","",1,"openai","gpt-4o"
"137.74.119.182",8080,"OpenAI-compat (generic)","",1,"llamacpp","Ministral-3-8B-Instruct-2512-Q4_K_M.gguf"
"137.74.41.166",8080,"OpenAI-compat (generic)","",1,"llamacpp","Qwen3-Embedding"
"137.74.46.197",4000,"OpenAI-compat (generic)","",1,"llamacpp","mistral-7b-instruct"
"139.144.18.139",3000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"139.144.18.139",1234,"LM Studio","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"139.144.18.139",1337,"Jan AI / Cortex","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"139.144.18.139",5000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"139.144.18.139",4000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"139.144.198.214",3000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"139.144.198.214",1234,"LM Studio","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"139.144.198.214",1337,"Jan AI / Cortex","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"139.144.198.214",4000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"139.144.201.31",3000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"139.144.201.41",3000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"139.144.198.214",5000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"139.144.201.31",1234,"LM Studio","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"139.144.201.82",3000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"139.144.201.31",4000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"139.144.201.31",5000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"139.144.201.41",1234,"LM Studio","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"139.144.201.41",4000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"139.144.201.41",5000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"139.144.201.82",4000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"139.144.201.82",5000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"139.144.207.11",3000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"139.144.201.82",1234,"LM Studio","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"139.144.201.82",1337,"Jan AI / Cortex","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"139.144.207.11",1234,"LM Studio","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"139.144.207.11",5000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"139.144.212.26",3000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"139.144.212.85",1234,"LM Studio","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"139.144.212.85",4000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"139.144.212.85",3000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"139.144.212.85",5000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"139.144.215.138",1234,"LM Studio","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"139.144.215.138",3000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"139.144.215.138",4000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"139.144.212.26",1234,"LM Studio","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"139.144.212.26",4000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"139.144.212.26",5000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"139.144.215.138",5000,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"139.144.201.31",1337,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"139.144.201.41",1337,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"139.144.212.85",1337,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"139.144.215.138",1337,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"139.144.212.26",1337,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"139.162.113.35",4000,"OpenAI-compat (generic)","",5,"openai","bedrock-nova-micro|bedrock-claude-sonnet-4|bedrock-claude-sonnet-45|kimi-k2.5|bedrock-deepseek-r1"
"139.144.18.139",8080,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"139.144.198.214",8080,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"139.144.201.31",8080,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"139.144.201.41",8080,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"139.144.201.82",8080,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
"139.144.207.11",8080,"OpenAI-compat (generic)","",2,"openai|system","gpt-3.5-turbo-0613|gpt-4o-mini"
