target,version,auth_state,vulnerable,method
http://132.220.245.91:3000,1.4.11,unauth,VULNERABLE,/api/v1/version
http://146.190.128.73:3000,1.4.3,unauth,VULNERABLE,/api/v1/version
http://167.71.251.208:3000,1.4.9,unauth,VULNERABLE,/api/v1/version
http://209.145.54.1:3000,1.4.2,unauth,VULNERABLE,/api/v1/version
http://39.105.152.205:3000,1.6.4,unauth,VULNERABLE,/api/v1/version
http://13.228.73.51:3000,2.2.4,unauth,PATCHED,/api/v1/version
http://134.209.209.126:3000,2.1.3,unauth,PATCHED,/api/v1/version
http://134.65.27.87:8009,2.2.7,unauth,PATCHED,/api/v1/version
http://137.131.169.225:3000,2.2.0,unauth,PATCHED,/api/v1/version
http://137.184.7.104:3000,2.2.4,unauth,PATCHED,/api/v1/version
http://138.2.158.167:3099,2.2.4,unauth,PATCHED,/api/v1/version
http://138.68.100.97:3000,2.2.2,unauth,PATCHED,/api/v1/version
http://138.68.191.226:3000,2.1.3,unauth,PATCHED,/api/v1/version
http://142.93.149.46:3000,2.2.5,unauth,PATCHED,/api/v1/version
http://143.110.237.62:3000,2.1.5,unauth,PATCHED,/api/v1/version
http://152.42.144.158:3000,2.2.5,unauth,PATCHED,/api/v1/version
http://154.53.51.64:3000,2.2.5,unauth,PATCHED,/api/v1/version
http://158.220.108.28:3000,2.1.3,unauth,PATCHED,/api/v1/version
http://159.223.5.34:3000,2.2.8,unauth,PATCHED,/api/v1/version
http://164.90.178.254:3000,2.2.3,unauth,PATCHED,/api/v1/version
http://164.92.228.241:3000,2.2.1,unauth,PATCHED,/api/v1/version
http://165.73.253.79:3000,2.2.3,unauth,PATCHED,/api/v1/version
http://167.172.141.12:3000,2.1.4,unauth,PATCHED,/api/v1/version
http://167.86.101.66:3000,2.2.8,unauth,PATCHED,/api/v1/version
http://172.105.109.189:3000,2.2.4,unauth,PATCHED,/api/v1/version
http://178.62.31.25:3000,2.2.6,unauth,PATCHED,/api/v1/version
http://18.206.91.52:443,2.2.1,unauth,PATCHED,/api/v1/version
http://181.15.102.127:88,2.2.5,unauth,PATCHED,/api/v1/version
http://193.196.52.115:443,2.2.8,unauth,PATCHED,/api/v1/version
http://194.233.64.71:3002,2.1.2,unauth,PATCHED,/api/v1/version
http://201.49.234.242:3000,2.1.5,unauth,PATCHED,/api/v1/version
http://209.141.55.7:3000,2.2.5,unauth,PATCHED,/api/v1/version
http://218.75.225.69:3000,2.2.5,unauth,PATCHED,/api/v1/version
http://223.18.71.26:3000,2.2.5,unauth,PATCHED,/api/v1/version
http://3.21.131.106:3000,2.0.7,unauth,PATCHED,/api/v1/version
http://3.87.78.123:3000,2.2.4,unauth,PATCHED,/api/v1/version
http://34.101.152.162:3000,2.2.2,unauth,PATCHED,/api/v1/version
