target,version,auth_state,method
http://142.93.0.224:5678,0.228.2,unauth,/rest/settings
http://34.19.69.232:5678,1.59.4,unauth,/rest/settings
http://34.22.230.197:5678,1.109.2,unauth,/rest/settings
http://104.248.142.5:5678,,,
http://108.131.109.106:12558,,unauth,
http://108.131.61.40:49692,,unauth,
http://13.201.128.63:8188,,unauth,
http://13.206.73.237:3165,,unauth,
http://13.209.19.200:17772,,unauth,
http://13.211.14.61:84,,unauth,
http://13.212.76.134:49502,,unauth,
http://13.245.181.236:5907,,unauth,
http://13.38.217.179:2068,,unauth,
http://13.39.109.186:11300,,unauth,
http://13.40.223.158:49692,,unauth,
http://13.53.139.178:12202,,unauth,
http://13.59.16.76:3137,,unauth,
http://13.60.163.108:8144,,unauth,
http://13.60.181.61:5907,,unauth,
http://130.102.0.52:3410,,unauth,
http://130.102.0.53:25082,,unauth,
http://130.102.0.57:10048,,unauth,
http://130.162.222.227:5678,,unauth,
http://139.59.73.50:5678,,unauth,
http://148.244.194.37:8443,,,
http://15.228.119.53:8144,,unauth,
http://15.229.231.89:1935,,unauth,
http://15.232.12.96:14101,,unauth,
http://16.112.193.208:9574,,unauth,
http://16.26.140.12:17772,,unauth,
http://16.26.143.154:55442,,unauth,
http://16.26.229.44:10087,,unauth,
http://16.26.93.60:8144,,unauth,
http://16.51.42.141:1414,,unauth,
http://16.62.229.137:9051,,unauth,
http://16.62.254.27:12458,,unauth,
http://16.79.118.58:49692,,unauth,
http://16.79.127.186:49502,,unauth,
http://160.34.223.66:8443,,,
http://164.68.110.29:5678,,unauth,
http://18.100.130.61:3137,,unauth,
http://18.101.105.157:49692,,unauth,
http://18.181.235.7:48661,,unauth,
http://18.191.254.16:5678,,,
http://18.228.42.217:8333,,unauth,
http://18.231.43.86:8015,,unauth,
http://194.5.152.102:5678,,,
http://203.114.74.13:27015,,unauth,
http://23.95.205.74:5678,,,
http://3.112.207.228:17778,,unauth,
http://3.115.20.15:9186,,unauth,
http://3.122.115.244:8488,,unauth,
http://3.141.23.103:16404,,unauth,
http://3.19.213.118:49692,,unauth,
http://3.251.88.234:3165,,unauth,
http://3.27.78.136:22398,,unauth,
http://34.111.29.239:5678,,,
http://34.133.122.212:5678,,,
http://34.204.36.88:16017,,unauth,
http://34.222.36.63:25082,,unauth,
http://35.152.181.22:8144,,unauth,
http://35.157.87.225:8853,,unauth,
http://35.183.24.78:2404,,unauth,
http://35.190.132.90:5678,,,
http://40.177.1.202:12293,,unauth,
http://40.177.164.75:177,,unauth,
http://40.177.249.208:3410,,unauth,
http://43.205.124.6:12458,,unauth,
http://43.210.206.6:8001,,unauth,
http://45.114.118.245:2003,,unauth,
http://46.225.136.25:5678,,unauth,
http://5.1.78.42:5678,,,
http://51.34.28.236:1447,,unauth,
http://51.48.166.134:35524,,unauth,
http://51.49.172.121:3165,,unauth,
http://51.49.75.18:12358,,unauth,
http://51.84.110.147:8188,,unauth,
http://51.84.173.250:5907,,unauth,
http://51.94.218.254:14101,,unauth,
http://54.151.13.101:12130,,unauth,
http://54.158.143.123:3523,,unauth,
http://54.188.236.206:541,,unauth,
http://54.252.210.226:12222,,unauth,
http://54.253.16.182:5678,,,
http://54.36.189.159:5678,,,
http://54.94.188.35:2154,,unauth,
http://56.124.11.196:8488,,unauth,
http://56.155.31.137:57785,,unauth,
http://56.155.73.215:195,,unauth,
http://63.179.251.44:8095,,unauth,
http://66.179.81.37:5678,,,
http://78.12.238.76:12458,,unauth,
http://78.12.242.235:8333,,unauth,
http://78.13.215.130:49692,,unauth,
http://90.250.8.94:5678,,,
