ip,host_class,platform,site_name,registration_enabled,payment_enabled,api_base_url,oidc_oauth_provider_name,openapi_title,openapi_version,openapi_route_count,models_count,open_ports_aimap,titles,payment_gateways,oauth_enabled_flags,sensitive_hits,elapsed_s
103.127.242.52,E_auth_gate_everywhere,unknown,,,,,,,,0,0,,,,,,0.24
107.173.182.231,D_private_closed_pool,Sub2API,Sub2API,False,False,,OIDC,,,0,0,,404 Not Found;Sub2API - AI API Gateway,wechat,,,5.24
104.199.226.242,unknown,unknown,,,,,,,,0,0,,,,,,5.7
104.194.68.91,D_private_closed_pool,Sub2API,Sub2API,False,False,,OIDC,,,0,0,,Welcome to nginx!;Sub2API - AI API Gateway,wechat,,,5.92
103.79.76.39,A_open_registration,Sub2API,Sub2API,True,False,,OIDC,,,0,0,,404 Not Found;Sub2API - AI API Gateway,wechat,,,7.02
104.168.94.31,D_private_closed_pool,Sub2API,Sub2API,False,False,,OIDC,,,0,0,8080,Sub2API - AI API Gateway,wechat,,,9.58
107.173.255.61,D_private_closed_pool,Sub2API,Sub2API,False,False,,OIDC,,,0,0,8080,Sub2API - AI API Gateway,wechat,,,9.57
107.174.55.86,D_private_closed_pool,Sub2API,BongRee专用,False,False,,OIDC,,,0,0,,Bongree Quick Home;Invalid URL;BongRee专用 - AI API Gateway,wechat,,,6.37
104.194.84.215,D_private_closed_pool,Sub2API,Sub2API,False,False,,OIDC,,,0,0,80,Sub2API - AI API Gateway,wechat,,,12.52
107.175.206.161,D_private_closed_pool,Sub2API,Sub2API,False,False,,OIDC,,,0,0,,301 Moved Permanently;New API;Sub2API - AI API Gateway,wechat,,,6.31
103.127.240.74,D_private_closed_pool,Sub2API,Sub2API,False,False,,OIDC,,,0,0,,404 Not Found;Sub2API - AI API Gateway,wechat,,,14.6
107.175.85.196,D_private_closed_pool,Sub2API,Sub2API,False,False,,OIDC,,,0,0,,Sub2API - AI API Gateway,wechat,,,6.41
103.127.240.90,D_private_closed_pool,Sub2API,Sub2API,False,False,,OIDC,,,0,0,,404 Not Found;Sub2API - AI API Gateway,wechat,,,16.89
103.127.240.94,D_private_closed_pool,Sub2API,Sub2API,False,False,,OIDC,,,0,0,,404 Not Found;Sub2API - AI API Gateway,wechat,,,17.66
103.127.240.65,D_private_closed_pool,Sub2API,Sub2API,False,False,,OIDC,,,0,0,,404 Not Found;Sub2API - AI API Gateway,wechat,,,18.24
101.33.74.248,D_private_closed_pool,Sub2API,Sub2API,False,False,,OIDC,,,0,0,,404 Not Found;Sub2API - AI API Gateway,wechat,,,18.99
103.232.92.203,D_private_closed_pool,Sub2API,Sub2API,False,False,,OIDC,,,0,0,"80,443",301 Moved Permanently;Sub2API - AI API Gateway,wechat,,,19.39
108.171.195.153,unknown,unknown,,,,,,,,0,0,,400 The plain HTTP request was sent to HTTPS port;VINI PLAY,,,,7.47
107.175.218.245,D_private_closed_pool,Sub2API,Sub2API,False,False,,OIDC,,,0,0,,Sub2API - AI API Gateway,wechat,,,11.48
107.174.178.71,D_private_closed_pool,Sub2API,Sub2API,False,False,,OIDC,,,0,0,"80,8080",Unavailable;Sub2API - AI API Gateway;CLI Proxy API Management Center,wechat,,,15.9
103.74.192.46,D_private_closed_pool,Sub2API,Sub2API,False,False,,OIDC,,,0,0,8080,Sub2API - AI API Gateway,wechat,,,21.18
117.55.234.112,D_private_closed_pool,Sub2API,Sub2API,False,False,,OIDC,,,0,0,,小橘书;Sub2API - AI API Gateway,wechat,,,4.54
103.79.186.210,D_private_closed_pool,Sub2API,Sub2API,False,False,,OIDC,,,0,0,,Sub2API - AI API Gateway,wechat,,,24.24
103.232.94.80,A_open_registration,Sub2API,Sub2API,True,False,,OIDC,,,0,0,,"Sorry, the website has been stopped;Sub2API - AI API Gateway",wechat,,,24.34
101.47.15.194,D_private_closed_pool,Sub2API,Sub2API,False,False,,OIDC,,,0,0,,Sub2API - AI API Gateway,wechat,,,24.43
104.168.112.243,D_private_closed_pool,Grok2API,,,,,,Grok2API,2.0.4.rc1,39,0,,404 Not Found,,,,25.21
108.171.193.246,D_private_closed_pool,Sub2API,Sub2API,False,False,,OIDC,,,0,0,"80,8080",Welcome to nginx!;Sub2API - AI API Gateway,wechat,,,12.93
