[1/82] 103.192.177.191  DEAD                 server= mfam=None coll=None
[2/82] 108.165.120.215  HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[3/82] 103.254.63.94    HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[4/82] 107.191.102.241  HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[5/82] 107.191.113.100  HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[6/82] 107.172.125.74   HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[7/82] 107.161.24.132   HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[8/82] 104.168.47.196   HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[9/82] 104.192.42.94    HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[10/82] 138.16.187.93    HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[11/82] 107.172.222.26   HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[12/82] 142.91.103.191   HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[13/82] 145.241.116.220  HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[14/82] 139.84.236.32    HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[15/82] 129.151.132.153  HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[16/82] 107.174.123.8    HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[17/82] 151.158.0.240    HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[18/82] 162.218.120.200  HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[19/82] 173.254.213.132  HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[20/82] 173.254.230.21   HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[21/82] 168.235.125.131  HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[22/82] 185.184.70.43    HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[23/82] 176.125.243.42   HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[24/82] 185.174.135.77   HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[25/82] 185.235.138.43   HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[26/82] 185.249.72.128   HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[27/82] 192.227.224.46   HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[28/82] 192.227.229.27   HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[29/82] 192.227.173.9    HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[30/82] 192.227.228.76   HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[31/82] 192.3.152.217    HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[32/82] 192.3.222.123    HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[33/82] 192.3.152.175    HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[34/82] 192.3.245.111    HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[35/82] 194.5.98.34      HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[36/82] 198.46.146.75    HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[37/82] 198.46.182.195   HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[38/82] 195.72.60.144    HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[39/82] 199.188.100.138  HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[40/82] 209.50.227.167   HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[41/82] 208.87.102.106   HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[42/82] 2.59.219.69      HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[43/82] 212.60.153.106   HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[44/82] 198.46.174.184   HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[45/82] 198.23.188.143   HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[46/82] 193.238.152.122  HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[47/82] 212.73.134.83    HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[48/82] 210.16.120.212   HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[49/82] 216.23.94.37     HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[50/82] 217.154.186.124  HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[51/82] 217.154.55.251   HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[52/82] 217.154.50.254   HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[53/82] 216.23.95.69     HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[54/82] 217.154.56.254   HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[55/82] 216.238.101.165  HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[56/82] 217.154.57.109   HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[57/82] 217.156.64.157   HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[58/82] 23.95.132.196    HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[59/82] 23.81.33.227     HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[60/82] 23.95.184.226    HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[61/82] 23.95.193.124    HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[62/82] 27.100.36.18     HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[63/82] 43.119.44.175    HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[64/82] 45.146.165.142   HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[65/82] 45.58.52.15      HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[66/82] 45.59.101.178    HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
