ip,platform,posture
100.49.3.222,BentoML,AUTH_OFF
100.25.240.168,BentoML,AUTH_OFF
112.186.25.154,BentoML,AUTH_OFF
115.190.149.238,BentoML,AUTH_OFF
120.55.15.198,BentoML,UNKNOWN
138.197.96.166,BentoML,AUTH_OFF
13.219.170.186,BentoML,AUTH_OFF
142.44.211.206,BentoML,AUTH_OFF
132.220.174.201,BentoML,AUTH_OFF
152.53.147.123,BentoML,AUTH_OFF
15.206.158.97,BentoML,AUTH_OFF
167.99.61.150,BentoML,AUTH_OFF
164.52.198.205,BentoML,AUTH_OFF
178.154.219.76,BentoML,AUTH_OFF
18.198.66.137,BentoML,AUTH_OFF
18.206.208.28,BentoML,UNKNOWN
182.40.33.99,BentoML,AUTH_OFF
3.121.227.214,BentoML,AUTH_OFF
3.211.235.77,BentoML,UNKNOWN
3.231.115.236,BentoML,AUTH_OFF
3.233.173.171,BentoML,AUTH_OFF
34.134.103.105,BentoML,AUTH_OFF
34.134.151.192,BentoML,AUTH_OFF
34.144.180.225,BentoML,AUTH_OFF
34.144.182.127,BentoML,AUTH_OFF
34.145.61.91,BentoML,AUTH_OFF
34.194.34.8,BentoML,UNKNOWN
34.199.132.41,BentoML,AUTH_OFF
34.21.42.254,BentoML,AUTH_OFF
35.153.226.93,BentoML,AUTH_ON_DEFAULT
35.168.161.143,BentoML,AUTH_ON_DEFAULT
35.174.161.179,BentoML,AUTH_OFF
35.197.190.161,BentoML,AUTH_OFF
35.223.210.157,BentoML,AUTH_OFF
35.247.33.59,BentoML,AUTH_OFF
48.216.197.156,BentoML,AUTH_OFF
54.204.143.38,BentoML,AUTH_OFF
54.211.172.4,BentoML,AUTH_OFF
54.37.252.187,BentoML,AUTH_OFF
57.153.31.12,BentoML,AUTH_OFF
61.107.201.19,BentoML,AUTH_OFF
82.165.143.125,BentoML,UNKNOWN
87.106.198.114,BentoML,AUTH_OFF
98.90.57.219,BentoML,UNKNOWN
