rank	ip	platform	posture	surprisal_nats	pop_freq	cohort_share	off_equilibrium
1	35.168.161.143	BentoML	AUTH_ON_DEFAULT	2.7726	0.0455	0.0000	OFF_EQ
2	35.153.226.93	BentoML	AUTH_ON_DEFAULT	2.7726	0.0455	0.0000	OFF_EQ
3	18.206.208.28	BentoML	UNKNOWN	1.9253	0.1364	0.0000	
4	98.90.57.219	BentoML	UNKNOWN	1.9253	0.1364	0.0000	
5	82.165.143.125	BentoML	UNKNOWN	1.9253	0.1364	0.0000	
6	120.55.15.198	BentoML	UNKNOWN	1.9253	0.1364	0.0000	
7	34.194.34.8	BentoML	UNKNOWN	1.9253	0.1364	0.0000	
8	3.211.235.77	BentoML	UNKNOWN	1.9253	0.1364	0.0000	
9	34.134.151.192	BentoML	AUTH_OFF	0.2603	0.8182	0.0000	
10	34.145.61.91	BentoML	AUTH_OFF	0.2603	0.8182	0.0000	
11	15.206.158.97	BentoML	AUTH_OFF	0.2603	0.8182	0.0000	
12	167.99.61.150	BentoML	AUTH_OFF	0.2603	0.8182	0.0000	
13	164.52.198.205	BentoML	AUTH_OFF	0.2603	0.8182	0.0000	
14	178.154.219.76	BentoML	AUTH_OFF	0.2603	0.8182	0.0000	
15	18.198.66.137	BentoML	AUTH_OFF	0.2603	0.8182	0.0000	
16	132.220.174.201	BentoML	AUTH_OFF	0.2603	0.8182	0.0000	
17	182.40.33.99	BentoML	AUTH_OFF	0.2603	0.8182	0.0000	
18	3.121.227.214	BentoML	AUTH_OFF	0.2603	0.8182	0.0000	
19	142.44.211.206	BentoML	AUTH_OFF	0.2603	0.8182	0.0000	
20	3.231.115.236	BentoML	AUTH_OFF	0.2603	0.8182	0.0000	
21	3.233.173.171	BentoML	AUTH_OFF	0.2603	0.8182	0.0000	
22	34.134.103.105	BentoML	AUTH_OFF	0.2603	0.8182	0.0000	
23	100.49.3.222	BentoML	AUTH_OFF	0.2603	0.8182	0.0000	
24	34.144.180.225	BentoML	AUTH_OFF	0.2603	0.8182	0.0000	
25	34.144.182.127	BentoML	AUTH_OFF	0.2603	0.8182	0.0000	
26	152.53.147.123	BentoML	AUTH_OFF	0.2603	0.8182	0.0000	
27	13.219.170.186	BentoML	AUTH_OFF	0.2603	0.8182	0.0000	
28	34.199.132.41	BentoML	AUTH_OFF	0.2603	0.8182	0.0000	
29	34.21.42.254	BentoML	AUTH_OFF	0.2603	0.8182	0.0000	
30	138.197.96.166	BentoML	AUTH_OFF	0.2603	0.8182	0.0000	
31	115.190.149.238	BentoML	AUTH_OFF	0.2603	0.8182	0.0000	
32	35.174.161.179	BentoML	AUTH_OFF	0.2603	0.8182	0.0000	
33	35.197.190.161	BentoML	AUTH_OFF	0.2603	0.8182	0.0000	
34	35.223.210.157	BentoML	AUTH_OFF	0.2603	0.8182	0.0000	
35	35.247.33.59	BentoML	AUTH_OFF	0.2603	0.8182	0.0000	
36	48.216.197.156	BentoML	AUTH_OFF	0.2603	0.8182	0.0000	
37	54.204.143.38	BentoML	AUTH_OFF	0.2603	0.8182	0.0000	
38	54.211.172.4	BentoML	AUTH_OFF	0.2603	0.8182	0.0000	
39	54.37.252.187	BentoML	AUTH_OFF	0.2603	0.8182	0.0000	
40	57.153.31.12	BentoML	AUTH_OFF	0.2603	0.8182	0.0000	
41	61.107.201.19	BentoML	AUTH_OFF	0.2603	0.8182	0.0000	
42	112.186.25.154	BentoML	AUTH_OFF	0.2603	0.8182	0.0000	
43	87.106.198.114	BentoML	AUTH_OFF	0.2603	0.8182	0.0000	
44	100.25.240.168	BentoML	AUTH_OFF	0.2603	0.8182	0.0000	
