ip,platform,posture
13.60.163.108,MCP-CredFleet-4dwebstar,AUTH_OFF
13.60.181.61,MCP-CredFleet-error,UNKNOWN
13.208.166.217,MCP-CredFleet-dirlist,AUTH_OFF
13.208.238.59,MCP-CredFleet-authgated,AUTH_ON_DEFAULT
13.251.45.112,MCP-CredFleet-other-windowsxpx86,AUTH_OFF
13.247.194.219,MCP-CredFleet-other-weblogicserv,UNKNOWN
13.246.58.35,MCP-CredFleet-other-python311aio,AUTH_OFF
13.206.73.237,MCP-CredFleet-other-sunilomwebse,AUTH_OFF
13.62.56.31,MCP-CredFleet-other-bbc2607comhp,AUTH_OFF
13.212.26.15,MCP-CredFleet-other-linux262317s,AUTH_OFF
13.53.139.178,MCP-CredFleet-other-rokuupnp10ro,AUTH_OFF
15.134.207.39,MCP-CredFleet-other-jetty4223sun,AUTH_OFF
15.237.108.20,MCP-CredFleet-blank,UNKNOWN
15.160.47.245,MCP-CredFleet-other-python312aio,AUTH_OFF
15.152.76.89,MCP-CredFleet-other-ciscoios121h,AUTH_OFF
18.145.83.168,MCP-CredFleet-other-linux2632279,AUTH_OFF
16.63.28.153,MCP-CredFleet-other-python311aio,AUTH_OFF
16.171.68.235,MCP-CredFleet-other-6176002upnp1,AUTH_OFF
16.62.123.236,MCP-CredFleet-apache,AUTH_OFF
16.112.17.187,MCP-CredFleet-other-python313aio,AUTH_OFF
18.170.25.193,MCP-CredFleet-other-jetty9451v20,UNKNOWN
15.152.116.221,MCP-CredFleet-other-compaqhttpse,AUTH_OFF
3.145.123.230,MCP-CredFleet-other-sophosemaila,AUTH_OFF
18.184.4.189,MCP-CredFleet-apache,AUTH_OFF
3.137.167.45,MCP-CredFleet-other-bbc1113007ov,AUTH_OFF
18.188.53.175,MCP-CredFleet-authgated,AUTH_ON_DEFAULT
18.162.200.96,MCP-CredFleet-other-jetty9421v20,AUTH_OFF
34.234.100.23,MCP-CredFleet-other-jetty9451v20,UNKNOWN
3.121.130.230,MCP-CredFleet-other-jetty9421v20,AUTH_OFF
3.99.158.157,MCP-CredFleet-other-eigembeddedw,AUTH_OFF
35.182.12.78,MCP-CredFleet-blank,AUTH_OFF
40.177.8.154,MCP-CredFleet-other-jetty9226v20,AUTH_OFF
18.231.214.27,MCP-CredFleet-other-tengine200,AUTH_OFF
3.123.27.84,MCP-CredFleet-other-windows7x866,AUTH_OFF
43.198.22.151,MCP-CredFleet-other-hpwebjetadmi,AUTH_OFF
43.206.240.252,MCP-CredFleet-other-jetty9226v20,AUTH_OFF
43.199.29.225,MCP-CredFleet-other-jetty949v201,AUTH_OFF
44.222.181.192,MCP-CredFleet-other-windowsxpx86,AUTH_OFF
43.208.243.207,MCP-CredFleet-apache,AUTH_OFF
43.208.237.116,MCP-CredFleet-other-python312aio,AUTH_OFF
43.210.200.108,MCP-CredFleet-other-bbc0520050co,AUTH_OFF
43.210.54.68,MCP-CredFleet-other-python312aio,AUTH_OFF
51.17.62.103,MCP-CredFleet-blank,AUTH_OFF
51.44.97.6,MCP-CredFleet-other-rapidlogic11,AUTH_OFF
52.47.115.41,MCP-CredFleet-error,UNKNOWN
52.56.167.111,MCP-CredFleet-other-weblogicserv,UNKNOWN
52.67.249.120,MCP-CredFleet-other-eigembeddedw,AUTH_OFF
51.84.101.19,MCP-CredFleet-other-ubuntutrusty,AUTH_OFF
54.170.22.150,MCP-CredFleet-blank,AUTH_OFF
54.180.117.151,MCP-CredFleet-other-boa,AUTH_OFF
54.183.251.28,MCP-CredFleet-other-systemadmina,AUTH_OFF
54.94.226.81,MCP-CredFleet-other-python311aio,AUTH_OFF
54.206.129.120,MCP-CredFleet-blank,UNKNOWN
56.155.99.29,MCP-CredFleet-other-weblogicserv,UNKNOWN
54.253.167.61,MCP-CredFleet-blank,AUTH_OFF
78.12.230.173,MCP-CredFleet-other-jetty9451v20,UNKNOWN
54.253.183.151,MCP-CredFleet-blank,AUTH_OFF
43.218.124.29,MCP-CredFleet-blank,AUTH_OFF
78.12.149.243,MCP-CredFleet-other-securitycons,AUTH_OFF
78.14.73.171,MCP-CredFleet-dirlist,AUTH_OFF
98.80.249.121,MCP-CredFleet-other-minio,AUTH_OFF
98.92.210.48,MCP-CredFleet-other-systemadmina,AUTH_OFF
65.2.5.16,MCP-CredFleet-authgated,AUTH_ON_DEFAULT
98.130.11.240,MCP-CredFleet-other-cpsrvd111260,AUTH_OFF
54.188.236.206,MCP-CredFleet-apache,AUTH_OFF
15.152.16.241,MCP-CredFleet-unresponsive,UNKNOWN
