rank	ip	platform	posture	surprisal_nats	pop_freq	cohort_share	off_equilibrium
1	15.237.108.20	MCP-CredFleet-blank	UNKNOWN	1.3863	0.2500	0.1250	
2	54.206.129.120	MCP-CredFleet-blank	UNKNOWN	1.3863	0.2500	0.1250	
3	34.234.100.23	MCP-CredFleet-other-jetty9451v20	UNKNOWN	0.5596	1.0000	0.3333	
4	43.208.237.116	MCP-CredFleet-other-python312aio	AUTH_OFF	0.5596	1.0000	0.3333	
5	15.160.47.245	MCP-CredFleet-other-python312aio	AUTH_OFF	0.5596	1.0000	0.3333	
6	16.63.28.153	MCP-CredFleet-other-python311aio	AUTH_OFF	0.5596	1.0000	0.3333	
7	13.208.238.59	MCP-CredFleet-authgated	AUTH_ON_DEFAULT	0.5596	1.0000	0.3333	
8	18.170.25.193	MCP-CredFleet-other-jetty9451v20	UNKNOWN	0.5596	1.0000	0.3333	
9	65.2.5.16	MCP-CredFleet-authgated	AUTH_ON_DEFAULT	0.5596	1.0000	0.3333	
10	18.188.53.175	MCP-CredFleet-authgated	AUTH_ON_DEFAULT	0.5596	1.0000	0.3333	
11	78.12.230.173	MCP-CredFleet-other-jetty9451v20	UNKNOWN	0.5596	1.0000	0.3333	
12	56.155.99.29	MCP-CredFleet-other-weblogicserv	UNKNOWN	0.5596	1.0000	0.3333	
13	13.247.194.219	MCP-CredFleet-other-weblogicserv	UNKNOWN	0.5596	1.0000	0.3333	
14	13.246.58.35	MCP-CredFleet-other-python311aio	AUTH_OFF	0.5596	1.0000	0.3333	
15	43.210.54.68	MCP-CredFleet-other-python312aio	AUTH_OFF	0.5596	1.0000	0.3333	
16	54.94.226.81	MCP-CredFleet-other-python311aio	AUTH_OFF	0.5596	1.0000	0.3333	
17	52.56.167.111	MCP-CredFleet-other-weblogicserv	UNKNOWN	0.5596	1.0000	0.3333	
18	54.170.22.150	MCP-CredFleet-blank	AUTH_OFF	0.5390	0.7500	0.1250	
19	51.17.62.103	MCP-CredFleet-blank	AUTH_OFF	0.5390	0.7500	0.1250	
20	43.218.124.29	MCP-CredFleet-blank	AUTH_OFF	0.5390	0.7500	0.1250	
21	35.182.12.78	MCP-CredFleet-blank	AUTH_OFF	0.5390	0.7500	0.1250	
22	54.253.167.61	MCP-CredFleet-blank	AUTH_OFF	0.5390	0.7500	0.1250	
23	54.253.183.151	MCP-CredFleet-blank	AUTH_OFF	0.5390	0.7500	0.1250	
24	16.62.123.236	MCP-CredFleet-apache	AUTH_OFF	0.4700	1.0000	0.2500	
25	43.208.243.207	MCP-CredFleet-apache	AUTH_OFF	0.4700	1.0000	0.2500	
26	18.184.4.189	MCP-CredFleet-apache	AUTH_OFF	0.4700	1.0000	0.2500	
27	54.188.236.206	MCP-CredFleet-apache	AUTH_OFF	0.4700	1.0000	0.2500	
