ip,platform,posture
104.223.22.86,Tabby,AUTH_OFF
141.144.201.97,Tabby,AUTH_OFF
140.238.211.111,Tabby,AUTH_OFF
119.28.12.53,Tabby,AUTH_OFF
106.14.127.78,Tabby,AUTH_OFF
120.24.149.239,Tabby,AUTH_OFF
138.121.25.252,Tabby,AUTH_OFF
103.192.179.153,Tabby,AUTH_OFF
137.220.221.177,Tabby,AUTH_OFF
154.17.236.60,Tabby,AUTH_OFF
150.230.7.121,Tabby,AUTH_OFF
154.94.237.161,Tabby,AUTH_OFF
144.24.156.80,Tabby,AUTH_OFF
167.253.159.92,Tabby,AUTH_OFF
168.138.170.247,Tabby,AUTH_OFF
185.194.53.93,Tabby,AUTH_OFF
185.238.248.111,Tabby,AUTH_OFF
192.187.99.164,Tabby,AUTH_OFF
186.232.194.57,Tabby,AUTH_OFF
140.143.249.244,Tabby,AUTH_OFF
120.76.217.213,Tabby,AUTH_OFF
212.87.213.117,Tabby,AUTH_OFF
107.173.165.126,Tabby,AUTH_OFF
103.199.19.57,Tabby,AUTH_OFF
101.126.142.247,Tabby,AUTH_OFF
143.42.19.239,Tabby,AUTH_OFF
198.7.125.50,Tabby,AUTH_OFF
154.8.185.25,Tabby,AUTH_OFF
172.233.181.173,Tabby,AUTH_OFF
38.242.244.234,Tabby,AUTH_OFF
39.103.50.234,Tabby,AUTH_OFF
193.181.23.15,Tabby,AUTH_OFF
40.233.99.247,Tabby,AUTH_OFF
45.33.56.196,Tabby,AUTH_OFF
47.79.92.1,Tabby,AUTH_OFF
207.148.109.124,Tabby,AUTH_OFF
47.96.232.20,Tabby,AUTH_OFF
3.80.115.91,Tabby,AUTH_OFF
43.143.163.44,Tabby,AUTH_OFF
34.205.20.77,Tabby,AUTH_OFF
66.98.125.31,Tabby,AUTH_OFF
47.100.46.100,Tabby,AUTH_OFF
8.219.243.125,Tabby,AUTH_OFF
43.155.237.151,Tabby,AUTH_OFF
43.163.235.218,Tabby,AUTH_OFF
82.165.241.150,Tabby,AUTH_OFF
8.209.231.109,Tabby,AUTH_OFF
81.68.191.149,Tabby,AUTH_OFF
89.167.106.245,Tabby,AUTH_OFF
97.64.30.72,Tabby,AUTH_OFF
5.78.203.59,Tabby,AUTH_ON_DEFAULT
43.133.248.37,Tabby,AUTH_ON_DEFAULT
8.129.103.131,Tabby,AUTH_OFF
209.145.62.76,Tabby,UNKNOWN
62.234.210.60,Tabby,AUTH_OFF
159.65.244.239,Tabby,UNKNOWN
62.171.139.103,Tabby,AUTH_OFF
95.181.190.241,Tabby,AUTH_OFF
51.91.31.20,Tabby,UNKNOWN
74.112.77.246,Tabby,AUTH_OFF
35.195.86.189,Tabby,UNKNOWN
35.161.153.130,Tabby,UNKNOWN
34.107.119.99,Tabby,UNKNOWN
35.190.92.144,Tabby,UNKNOWN
5.161.61.142,Tabby,UNKNOWN
34.77.102.18,Tabby,UNKNOWN
62.149.163.76,Tabby,UNKNOWN
98.64.233.47,Tabby,AUTH_ON_DEFAULT
98.93.13.53,Tabby,AUTH_OFF
54.201.131.91,Tabby,UNKNOWN
