rank	ip	platform	posture	surprisal_nats	pop_freq	cohort_share	off_equilibrium
1	5.78.203.59	Tabby	AUTH_ON_DEFAULT	2.9178	0.0429	0.0143	OFF_EQ
2	43.133.248.37	Tabby	AUTH_ON_DEFAULT	2.9178	0.0429	0.0000	OFF_EQ
3	98.64.233.47	Tabby	AUTH_ON_DEFAULT	2.9178	0.0429	0.0000	OFF_EQ
4	35.190.92.144	Tabby	UNKNOWN	1.8192	0.1571	0.0000	
5	34.77.102.18	Tabby	UNKNOWN	1.8192	0.1571	0.0000	
6	5.161.61.142	Tabby	UNKNOWN	1.8192	0.1571	0.0000	
7	62.149.163.76	Tabby	UNKNOWN	1.8192	0.1571	0.0000	
8	34.107.119.99	Tabby	UNKNOWN	1.8192	0.1571	0.0000	
9	35.161.153.130	Tabby	UNKNOWN	1.8192	0.1571	0.0000	
10	35.195.86.189	Tabby	UNKNOWN	1.8192	0.1571	0.0000	
11	51.91.31.20	Tabby	UNKNOWN	1.8192	0.1571	0.0000	
12	159.65.244.239	Tabby	UNKNOWN	1.8192	0.1571	0.0000	
13	209.145.62.76	Tabby	UNKNOWN	1.8192	0.1571	0.0000	
14	54.201.131.91	Tabby	UNKNOWN	1.8192	0.1571	0.0000	
15	192.187.99.164	Tabby	AUTH_OFF	0.2610	0.8000	0.0143	
16	47.100.46.100	Tabby	AUTH_OFF	0.2610	0.8000	0.0000	
17	185.238.248.111	Tabby	AUTH_OFF	0.2610	0.8000	0.0000	
18	104.223.22.86	Tabby	AUTH_OFF	0.2610	0.8000	0.0143	
19	186.232.194.57	Tabby	AUTH_OFF	0.2610	0.8000	0.0143	
20	140.143.249.244	Tabby	AUTH_OFF	0.2610	0.8000	0.0000	
21	120.76.217.213	Tabby	AUTH_OFF	0.2610	0.8000	0.0000	
22	212.87.213.117	Tabby	AUTH_OFF	0.2610	0.8000	0.0143	
23	107.173.165.126	Tabby	AUTH_OFF	0.2610	0.8000	0.0143	
24	103.199.19.57	Tabby	AUTH_OFF	0.2610	0.8000	0.0000	
25	101.126.142.247	Tabby	AUTH_OFF	0.2610	0.8000	0.0000	
26	143.42.19.239	Tabby	AUTH_OFF	0.2610	0.8000	0.0143	
27	198.7.125.50	Tabby	AUTH_OFF	0.2610	0.8000	0.0143	
28	154.8.185.25	Tabby	AUTH_OFF	0.2610	0.8000	0.0000	
29	172.233.181.173	Tabby	AUTH_OFF	0.2610	0.8000	0.0143	
30	38.242.244.234	Tabby	AUTH_OFF	0.2610	0.8000	0.0143	
31	39.103.50.234	Tabby	AUTH_OFF	0.2610	0.8000	0.0000	
32	193.181.23.15	Tabby	AUTH_OFF	0.2610	0.8000	0.0143	
33	40.233.99.247	Tabby	AUTH_OFF	0.2610	0.8000	0.0000	
34	45.33.56.196	Tabby	AUTH_OFF	0.2610	0.8000	0.0143	
35	47.79.92.1	Tabby	AUTH_OFF	0.2610	0.8000	0.0000	
36	207.148.109.124	Tabby	AUTH_OFF	0.2610	0.8000	0.0143	
37	47.96.232.20	Tabby	AUTH_OFF	0.2610	0.8000	0.0000	
38	3.80.115.91	Tabby	AUTH_OFF	0.2610	0.8000	0.0143	
39	43.143.163.44	Tabby	AUTH_OFF	0.2610	0.8000	0.0000	
40	34.205.20.77	Tabby	AUTH_OFF	0.2610	0.8000	0.0143	
41	66.98.125.31	Tabby	AUTH_OFF	0.2610	0.8000	0.0143	
42	185.194.53.93	Tabby	AUTH_OFF	0.2610	0.8000	0.0143	
43	8.219.243.125	Tabby	AUTH_OFF	0.2610	0.8000	0.0000	
44	43.155.237.151	Tabby	AUTH_OFF	0.2610	0.8000	0.0000	
45	43.163.235.218	Tabby	AUTH_OFF	0.2610	0.8000	0.0000	
46	82.165.241.150	Tabby	AUTH_OFF	0.2610	0.8000	0.0000	
47	8.209.231.109	Tabby	AUTH_OFF	0.2610	0.8000	0.0000	
48	81.68.191.149	Tabby	AUTH_OFF	0.2610	0.8000	0.0000	
49	89.167.106.245	Tabby	AUTH_OFF	0.2610	0.8000	0.0143	
50	97.64.30.72	Tabby	AUTH_OFF	0.2610	0.8000	0.0143	
51	168.138.170.247	Tabby	AUTH_OFF	0.2610	0.8000	0.0000	
52	167.253.159.92	Tabby	AUTH_OFF	0.2610	0.8000	0.0000	
53	8.129.103.131	Tabby	AUTH_OFF	0.2610	0.8000	0.0000	
54	144.24.156.80	Tabby	AUTH_OFF	0.2610	0.8000	0.0000	
55	62.234.210.60	Tabby	AUTH_OFF	0.2610	0.8000	0.0000	
56	154.94.237.161	Tabby	AUTH_OFF	0.2610	0.8000	0.0143	
57	62.171.139.103	Tabby	AUTH_OFF	0.2610	0.8000	0.0143	
58	95.181.190.241	Tabby	AUTH_OFF	0.2610	0.8000	0.0143	
59	150.230.7.121	Tabby	AUTH_OFF	0.2610	0.8000	0.0000	
60	74.112.77.246	Tabby	AUTH_OFF	0.2610	0.8000	0.0143	
61	154.17.236.60	Tabby	AUTH_OFF	0.2610	0.8000	0.0143	
62	137.220.221.177	Tabby	AUTH_OFF	0.2610	0.8000	0.0000	
63	103.192.179.153	Tabby	AUTH_OFF	0.2610	0.8000	0.0000	
64	138.121.25.252	Tabby	AUTH_OFF	0.2610	0.8000	0.0000	
65	120.24.149.239	Tabby	AUTH_OFF	0.2610	0.8000	0.0000	
66	106.14.127.78	Tabby	AUTH_OFF	0.2610	0.8000	0.0000	
67	119.28.12.53	Tabby	AUTH_OFF	0.2610	0.8000	0.0000	
68	140.238.211.111	Tabby	AUTH_OFF	0.2610	0.8000	0.0000	
69	98.93.13.53	Tabby	AUTH_OFF	0.2610	0.8000	0.0143	
70	141.144.201.97	Tabby	AUTH_OFF	0.2610	0.8000	0.0000	
