ip,platform,posture
3.137.167.45,Tabby-Shadow,AUTH_OFF
18.145.83.168,Tabby-Shadow,AUTH_OFF
18.188.53.175,Tabby-Shadow,AUTH_ON_DEFAULT
16.63.28.153,Tabby-Shadow,AUTH_OFF
16.171.68.235,Tabby-Shadow,AUTH_OFF
15.237.108.20,Tabby-Shadow,AUTH_OFF
13.60.163.108,Tabby-Shadow,AUTH_OFF
13.53.139.178,Tabby-Shadow,AUTH_ON_DEFAULT
13.62.56.31,Tabby-Shadow,AUTH_OFF
16.62.123.236,Tabby-Shadow,AUTH_OFF
3.121.130.230,Tabby-Shadow,AUTH_ON_DEFAULT
18.184.4.189,Tabby-Shadow,AUTH_OFF
15.152.76.89,Tabby-Shadow,AUTH_OFF
15.134.207.39,Tabby-Shadow,AUTH_OFF
13.208.166.217,Tabby-Shadow,AUTH_OFF
18.231.214.27,Tabby-Shadow,AUTH_OFF
18.170.25.193,Tabby-Shadow,AUTH_OFF
13.246.58.35,Tabby-Shadow,AUTH_OFF
15.160.47.245,Tabby-Shadow,AUTH_OFF
3.123.27.84,Tabby-Shadow,AUTH_OFF
13.60.181.61,Tabby-Shadow,AUTH_OFF
13.208.238.59,Tabby-Shadow,AUTH_ON_DEFAULT
18.162.200.96,Tabby-Shadow,AUTH_OFF
15.152.116.221,Tabby-Shadow,AUTH_OFF
3.145.123.230,Tabby-Shadow,AUTH_OFF
13.212.26.15,Tabby-Shadow,AUTH_OFF
13.206.73.237,Tabby-Shadow,AUTH_OFF
3.99.158.157,Tabby-Shadow,AUTH_OFF
13.247.194.219,Tabby-Shadow,AUTH_OFF
16.112.17.187,Tabby-Shadow,AUTH_OFF
13.251.45.112,Tabby-Shadow,AUTH_OFF
34.234.100.23,Tabby-Shadow,AUTH_OFF
40.177.8.154,Tabby-Shadow,AUTH_OFF
44.222.181.192,Tabby-Shadow,AUTH_OFF
35.182.12.78,Tabby-Shadow,AUTH_OFF
54.188.236.206,Tabby-Shadow,AUTH_OFF
43.198.22.151,Tabby-Shadow,AUTH_OFF
51.44.97.6,Tabby-Shadow,AUTH_OFF
54.170.22.150,Tabby-Shadow,AUTH_OFF
54.183.251.28,Tabby-Shadow,AUTH_OFF
52.47.115.41,Tabby-Shadow,AUTH_OFF
78.12.149.243,Tabby-Shadow,AUTH_OFF
52.67.249.120,Tabby-Shadow,AUTH_OFF
43.206.240.252,Tabby-Shadow,AUTH_OFF
52.56.167.111,Tabby-Shadow,AUTH_OFF
51.84.101.19,Tabby-Shadow,AUTH_OFF
43.199.29.225,Tabby-Shadow,AUTH_ON_DEFAULT
98.80.249.121,Tabby-Shadow,AUTH_OFF
43.210.54.68,Tabby-Shadow,AUTH_OFF
51.17.62.103,Tabby-Shadow,AUTH_OFF
78.12.230.173,Tabby-Shadow,AUTH_OFF
78.14.73.171,Tabby-Shadow,AUTH_OFF
43.208.237.116,Tabby-Shadow,AUTH_OFF
43.210.200.108,Tabby-Shadow,AUTH_OFF
54.180.117.151,Tabby-Shadow,AUTH_OFF
54.94.226.81,Tabby-Shadow,AUTH_OFF
54.206.129.120,Tabby-Shadow,AUTH_OFF
98.92.210.48,Tabby-Shadow,AUTH_OFF
43.208.243.207,Tabby-Shadow,AUTH_OFF
54.253.167.61,Tabby-Shadow,AUTH_OFF
56.155.99.29,Tabby-Shadow,AUTH_OFF
54.253.183.151,Tabby-Shadow,AUTH_OFF
43.218.124.29,Tabby-Shadow,AUTH_OFF
65.2.5.16,Tabby-Shadow,AUTH_ON_DEFAULT
98.130.11.240,Tabby-Shadow,AUTH_OFF
15.152.16.241,Tabby-Shadow,AUTH_OFF
