ip,port,scheme,status,total_repos,llm_match_count,llm_matches
154.17.229.68,51000,http,200,24,1,"vllm/vllm-openai"
149.248.14.62,55000,http,200,50,2,"ollama/ollama,vllm/vllm-openai"
107.175.6.22,5002,http,200,52,5,"langgenius/dify-api,langgenius/dify-plugin-daemon,langgenius/dify-sandbox,langgenius/dify-web,vllm/vllm-openai"
89.117.94.189,55000,http,200,28,2,"lmsysorg/sglang,vllm/vllm-openai"
144.168.59.133,5000,http,200,34,2,"langflowai/langflow,vllm/vllm-openai"
45.62.98.187,5000,http,200,20,6,"langgenius/dify-api,langgenius/dify-plugin-daemon,langgenius/dify-sandbox,langgenius/dify-web,vllm/vllm-openai,xprobe/xinference"
124.156.184.45,55000,http,200,100,3,"apache/dolphinscheduler-standalone-server,dengcao/vllm-openai,lmsysorg/sglang"
101.79.167.169,8091,http,200,93,6,"langgenius/dify-api,langgenius/dify-sandbox,langgenius/dify-web,ollama/ollama,soar97/triton-cosyvoice,vllm/vllm-openai"
119.8.164.81,55000,http,200,86,8,"langgenius/dify-api,langgenius/dify-plugin-daemon,langgenius/dify-sandbox,langgenius/dify-web,ollama/ollama,rocm/vllm,rocm/vllm-dev,vllm/vllm-openai"
124.163.255.214,5000,http,200,100,7,"000002/ai-platform/agent/hs-ai-agent-dify,000002/ai-platform/inference/chatglm3-6b-apiserver,000002/ai-platform/inference/embed_n_rerank,000002/ai-platform/inference/llama3-8b-apiserver,000002/ai-platform/inference/vllm-openai,000002/ai-platform/train/chatglm,000002/ai_platform/inference/chatglm3-6b-vllm-apiserver"
78.141.201.161,5000,http,200,4,0,""
209.141.57.54,58000,http,200,89,2,"lmsysorg/sglang,vllm/vllm-openai"
119.28.134.86,5000,http,200,7,1,"vllm/vllm-openai"
154.9.229.242,5000,http,200,25,2,"langgenius/dify-api,vllm/vllm-openai"
89.117.94.197,55000,http,200,28,2,"lmsysorg/sglang,vllm/vllm-openai"
206.237.12.86,50003,http,200,25,3,"ascend/vllm-ascend,lmsysorg/sglang,vllm/vllm-openai"
209.141.57.54,51000,http,200,89,2,"lmsysorg/sglang,vllm/vllm-openai"
154.8.139.7,5000,http,200,63,4,"aiit/vllm/vllm-openai,aiit/vllm-qwen3-0.6b,public/vllm/vllm-openai,public/vllm-qwen3-0.6b"
